Appetizers,Premium,,Mains,Premium,,Sides,Premium,,Platters & Boards,Description,Premium,,"Soups &
Salads",Premium,,Bar/Beverage,Description,Premium,,Kids Menu,Option,,Rental / Extra,Description,Premium,,,,,,Services,Premium,Mains,Sides,Staff,Description,,Extras,,,Vendor Meals,Option,,,,Brunch,Option
None,,,None,,,None,,,None,,,,None,,,None,,,,None,,,None,,,,,,,,,,,,0.00,,,Added Main,6.50,,None,,,,,None,
,,,,,,,,,,,,,,,,,,,,Chicken Fingers and Fries,4.50,,Cake Cutting,"Expert cake cutting, from slicing to plating and serving, ensuring your guests enjoy dessert promptly. Comes with Free High End Disposable Flatware",7.50,,,,,,,,,,,,,,,,"Vendor Meal (1 Protein + 2 Sides + Salad)
Buffet","_Please specify in notes section what the dish selections are
Garden or Cesar Salad
5 Vendor Minimum",19.00,,,Seasonal Fruit Salad,3.50
_____ Cold Appetizers _____,,,_____ Beef _____,,,_____ Potatoes _____,,,____ Platters ____,,,,____ Complimentary Salads ____,,,____ Set Up ____,,,,Mac & Cheese,3.00,,Real china set Apps+Dinner+Bussing,"Real China
Upgrade your dining experience with real china, 
appetizer plate, dinner plate, silverware.
Includes Table Bussing in this upgrade at $4/pp",9.95,,,,,Buffet Service,Mini Buffet,24.90,1.00,2.00,3.00,"Self-Serve Attended Buffet
1 main course + 2 sides + 1 Salad
Attended: Setup + Breakdown + Refreshing Buffet
Budget Option: Switch to drop off & save $3/pp",,Added Side,3.50,,"Vendor Meals (2 Protein + 3 Sides + Salad)
Buffet","_Please specify in notes section what the dish selections are
Garden or Cesar Salad
5 Vendor Minimum",29.00,,,Yogurt,3.50
Asparagus and Broccoli Mix,3.00,,Beef Short Ribs,5.00,,Baked Potatoes,,,Cheese and Crackers,"A variety of domestic and imported cheese, as well as cheese spreads served with an array of flavorful crackers and crostini.",4.95,,Complimentary Cesar Salad,$0.01,,None,,,,Penne Pasta w/Butter or Marinara Sauce,3.00,,Real china set Apps+Dinner+Bussing+Setup,"Real China
Upgrade your dining experience with real china, 
appetizer plate, dinner plate, silverware.
Includes Table Setup in this upgrade at $4/pp
Includes Table Bussing in this upgrade at $4/pp",13.95,,,,,Buffet Service,Full Buffet,31.90,2.00,3.00,3.00,"Self-Serve Attended Buffet
2 main course + 3 sides + 1 Salad
Attended: Setup + Breakdown + Refreshing Buffet
Budget Option: Switch to drop off & save $3/pp",,Added Salad,3.50,,,,,,,Deluxe Charcuterie Board,12.50
Asparagus wrap,5.00,,Beef Wellington,10.00,,Oven Roasted Potatoes,,,Fruit Platter,"Seasonal Fruits such as:
Watermelon, Honeydew, Pineapple
Grapes, Cantelope",4.95,,Complimentary Garden Salad,$0.01,,Non-Alcoholic Station Setup,"Setup includes, equipment disposable napkins, straws, ice, cups, garnishes, etc.",$85.00,,Mini Burger Sliders w/Fries,4.50,,Real china: Dinner Only+Bussing,"Real China
Upgrade your dining experience with real china, 
includes flatware and silverware
(Dinner Only - No Appetizers)
Includes Table Bussing in this upgrade at $4/pp",7.50,,,,,Buffet Service,Deluxe Buffet,37.90,3.00,3.00,3.00,"Self-Serve Attended Buffet
3 main course + 3 sides + 1 Salad
Attended: Setup + Breakdown + Refreshing Buffet
Budget Option: Switch to drop off & save $3/pp",,Table Clearing,3.00,,,,,,,Fruit Platter,4.95
Avocado Skins,4.25,,Beef or Chicken Fajitas,,,Scalloped Potatoes,2.00,,Veggie Platter,"Carrots, Broccoli, Celery, Cherry Tomatoes
with Ranch Dipping Sauce.",4.95,,Remove Salad from Package,-$3.50,,Standard Bar Setup,"Complete bar setup with all essentials
—equipment, ice, disposable cups, garnishes, and liability coverage",$150.00,,Full Dinner (Half Off),12.45,,Real china: Dinner Only+Bussing+Setup,"Real China
Upgrade your dining experience with real china, 
includes flatware and silverware
(Dinner Only - No Appetizers)
Includes Table Setup in this upgrade at $4/pp
Includes Table Bussing in this upgrade at $4/pp",11.50,,,,,Family Style,Family Style: Mini,29.90,1.00,2.00,10.00,"Staff & Service: Family-Style Presentation
1 Main  + 2 Sides + 1 Salad
Celebrate togetherness with our family-style service, where our staff serves hearty selections in portions designed for all to share. ",,,,,,,,,,Veggie Platter,4.95
Bread & Butter,1.99,,Beef Stroganoff,,,Twice Baked Potatoes,2.00,,Grilled Vegetable Medley,"Summer Squash, Zucchini, Carrots, Broccoli.",4.95,,____ Salads ____,,,Beverage Package Only,Select Beverage Package Below {disposable cups  },$0.01,,,,,Real china: Add Desserts/Cake,"Real China
Upgrade your dining experience with real china, 
includes flatware and silverware
(Desserts / Cake)

Includes Table Bussing in this upgrade at $1/pp",2.95,,,,,Family Style,Family Style: Full,35.90,2.00,4.00,10.00,"Staff & Service: Family-Style Presentation
2 Mains + 4 Sides + 1 Salad
Celebrate togetherness with our family-style service, where our staff serves hearty selections in portions designed for all to share. ",,Delivery Service,2.00,,,,,,,"Assorted Bread, Butter & Jam Platter",5.95
Bruschetta,2.50,,Flank Steak w/ Chimichurri,,,Mashed Potato Casserole,2.00,,Hummus,"Roasted garlic hummus, red pepper hummus, lemon fennel, and sun-dried tomato
basil hummus. Served with tortilla chips, pita chips, crostini, and fresh baby carrots, celery, and peppers.",6.50,,Asian Vegetable Salad,$5.00,,Brunch,Select Beverage Package Below,0.01,,,,,"Real Fork, Knife & Spoon",...,2.50,,,,,Family Style,Family Style: Deluxe,44.10,3.00,6.00,10.00,"Staff & Service: Family-Style Presentation
3 Mains + 6 sides + 1 Salad
Celebrate togetherness with our family-style service, where our staff serves hearty selections in portions designed for all to share. ",,,,,,,,,,Croissant & Assorted Muffins,6.50
Chicken Salad Mini Cups,2.5,,Garlic Prime Sirloin (Picanha) ,3.00,,Garlic Mashed Potatoes,,,Shrimp Cocktail,"Cooked shrimp served with fresh lemon wedges and spicy cocktail sauce
on top of a bed of shaved ice garnished with sprigs of parsley.",12.00,,Beet & Radish Salad,$6.00,,____ Cash Bar ____,,,,,,,Passed Hors-d'Oeuvres Service,Servers will offer your guests appetizers from elegant trays.,0.01,,,,,Traditional Plated,Mini Plated Service,32.40,1.00,2.00,15.00,"Staff & Service: Personalized Plated Presentation
1 Protein Choice + 2 Sides + 1 salad
Experience plated catering as our professional staff serve each guest their choice of protein alongside two sides, all from a custom curated menu provided in advance.
Budget Option: Switch to Family Style Plated & save $5/pp",,,,,,,,,,Pancakes,4.95
Chicken Salad Sandwiches on Cheese Bread,3.50,,Prime Sirloin (Picanha) ,3.00,,_____ Rice & Grains _____,,,,,,,Broccoli Salad,$3.50,,Standard Cash Bar,"Cash Bar Pricing: Specialty Drinks: $9-10, Liquor Drinks: $6-8, Beers: $6, White or Red Sangria: $6, Red Wine & White Wine: $6. Soft Drinks: $2.",$6.50,,,,,"Tableware  High-end disposable plates, silverware",& napkins,3.50,,,,,Traditional Plated,Full Plated Service,38.40,2.00,4.00,15.00,"Staff & Service: Personalized Plated Presentation
2 Protein Choices + 4 Sides + 1 salad
Experience plated catering as our professional staff serve each guest their choice of protein alongside two sides, all from a custom curated menu provided in advance.
Budget Option: Switch to Family Style Plated & save $5/pp",,,,,,,,,,Classic Bruchetta,2.75
Endive,6.00,,Ribeye,9.00,,Spanish Rice,,,____ Charcuterie ____,,,,Caesar Salad,$3.50,,Extra Hour Cash Bar,Extend your bar service beyond the standard 4 hours with an additional hour.,$1.95,,,,,Coffee & Tea Service,Coffee & Tea Service,2.50,,,,,Traditional Plated,Deluxe Plated Service,44.10,3.00,6.00,15.00,"Staff & Service: Personalized Plated Presentation
3 Protein Choices + 6 sides + 1 salad
Experience plated catering as our professional staff serve each guest their choice of protein alongside two sides, all from a custom curated menu provided in advance.
Budget Option: Switch to Family Style Plated & save $5/pp",,,,,,,,,,Pao de Quejo (Cheese Bread) Plain,2.75
