                                                                                        ,Church Name ,Contact person,Phone ,Direct Number ,E-mail,Instagram,Website,
Marlboro,Bethel Presbyterian Church,VAGNER MIRANDA PASTOR,508-251-2981,,,https://www.instagram.com/presbethel/,https://l.instagram.com/?u=https%3A%2F%2Fyoutube.com%2Fc%2FBethelPresbyterianChurch%3Ffbclid%3DPAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGnOa_1zh9mFyfYIC2NkHAaZGrQ0njSVopTxo5ahAjlbAl_3QL5VVP3OCoG0CM_aem_MyxAqbcnwaj3aObwcjljhQ&e=AT2hPlBDVI5CQmqyL_njedoqM8p-A7CmV9SKlcgEJCXl8La_WhqVYau0ebdXIibn1WfIR-0NV3dywyh058h6eHz4Be_FaG82neE9EKwM0kYwg26hxny7WBFR0g,
,Igreja Betesda Marlborough,,1 617-957-3421,,,,,
,ABBA CHURCH MARLBORO,,1 351-210-1898,,,,,
,Immaculate Conception Catholic Church,,1 508-485-0016,,,,,
,Metro Church,,1 508-460-0771,,,,,
,Iglesia Emanuel - Marlborough,,1 508-229-3507,,,,,
,Judah City Church,,1 774-249-6462,,,,,
City,Church Name,Contact Person,Phone,Direct Contact,Email,Instagram,Website,Source
"Stoneham, MA",Greater Boston Brazilian SDA Church,João Luis Pallú (Pastor),Marcelino (494)229-9544 ou Monica (781)827-9814,Marcelino ou Monica,—,—,https://greaterbostonbrazilianma.adventistchurch.org,eAdventist
"Stoughton, MA",Igreja Batista de Língua Portuguesa,(not listed),(781) 341-2566,(same),(if found),—,http://igrejabatistadelingua1.placeweb.site,MapQuest
"Quincy, MA",Brazilian Assembly of God (B.A.G Church),Pr. Alexandre Bernardino,(407) 668-8771,(same),(if found online),(if found),https://bagchurch.com,Official Website
"Boston, MA",Igreja Universal,(lead pastor/office),(617)279-6787,(same),(if found),—,http://UniversalUSA.org,Business listing
Lowell/Area,Igreja Presbiteriana Ministério Shekinah,Rev. Paulo Joaquim de Lima,603-943-5762,603-341-0348,iprnacional@hotmail.com,—,—,PC(US)A directory
"Hyannis, MA",Brazilian Presbyterian Church,Rev. Alonso Dacunha,508-364-2820,(same),cunhaalonso@hotmail.com,—,—,PC(US)A directory
,,,,,,,,
City,Church Name,Contact Person,Phone,Email,Website,Notes / Source,,
"Somerville, MA",Igreja Presbiteriana de Boston,Pr. Diógenes Bezerra,1 617-340-9245,ipb@ipboston.org,https://ipboston.org/,Portuguese Presbyterian church,,
"Melrose, MA",Igreja Presbiteriana Brasileira – Melrose,Rev. Renato Menegaro,617-669-4918,info@ipbmelrose.com,https://ipbmelrose.com/,Brazilian Presbyterian,,
"Medford, MA",New England Portuguese SDA Church,Pastor Luiz Souza,(781) 874-9006,Luiz Henrique Souza,https://newenglandportuguesema.adventistchurch.org/,SDA Portuguese,,
"Medford, MA",Assembleia de Deus Ministério do Belém,(no name),(781) 558-7951,prvagnersilva@hotmail.com,(n/a),Pentecostal Brazilian,,
"Everett, MA",Everett Portuguese SDA Church,Pastor João Pallú,617-387-3300,(n/a),https://everettportuguesema.adventistchurch.org/,Portuguese SDA,,
"Stoneham, MA",Greater Boston Brazilian SDA Church,Pastor João Luis Pallú,(n/a),(n/a),https://greaterbostonbrazilianma.adventistchurch.org/,Portuguese SDA,,
"Lancaster, MA",Lancaster Brazilian SDA Church,Pastor Ricardo do Carmo Coelho,1 978-558-0727,(n/a),https://lancasterportuguesema.adventistchurch.org/,Portuguese SDA,,
"Falmouth, MA",Comunidade Brasileira Católica de Falmouth,Rev. Marcelo Silva,,(n/a),https://falmouthcatholic.org/brasileira,Brazilian Catholic community,,
"Milford, MA",Assembleia de Deus Filadélfia – Milford,Pb. Goldemar de Freitas,(203) 778 – 4175,(n/a),https://adfiladelfia.org/congregacoes/milford-ma.html,Brazilian Pentecostal,,
,,,,,,,,
City,Church / Community,Contact Person,Phone,Email,Website,Notes / Source,,
"Natick, MA",New Covenant Christian Church,Hudson & Sandra de Oliveira,(508) 653-0971,(n/a),(n/a),"Portuguese outreach, listed via church planting network (Hisportic Christian Mission)",,
"Framingham, MA",Spring of Life Christian Church,Pastor Wanderson Batista,(n/a),(n/a),(n/a),Brazilian planting church (Hisportic Christian Mission),,
"Worcester, MA",Worcester Portuguese SDA Church,Pastor Ricardo Coelho,508-267-1422,(n/a),https://worcesterportuguesema.adventistchurch.org/,Portuguese SDA ministry (Igreja Adventista de Worcester),,
