Link,Owner name,who uses it,purpose of the sheet,,
Marketing,,,,,
Venue Partners( frequency of jobs there ) 04/08,admin@comeketocatering.com,"Cathlyn, Eufy, Rena, Rod, Camila, Rhonna & sales team ",To manage work/effort being made to gain more venue partners / and which rep is managing / responsible for each partner ,,
LeadsTracker- Camila ,admin@comeketocatering.com,"Camila, Rhonna",How to track leads flow ...  ,,
Facebook Links - for all wedding groups ,support@comeketocatering.com,"Rena, Eufy & Cathlyn ","what are the Fb groups are we reaching out , which one has monst activity. Using these Fb groupd to reach out to potetial clients and potetial vendor partners ",,
List of links for EXPOS conferences - Cathlyn,comeketorestaurant@gmail.com,Cathlyn ,Cathlyn is going after EXPO in other spaces to get us in so we can offer our services for other businesses ,,
IG Insight Weekly Monitoring,office@virtualkitchenhall.com,"Cathlyn, Eufy, rena, camila ","Manage the approach to gain new relationships, what stage of building rapport you are at ",,
Brazilian Churches in MA  ,comeketorestaurant@gmail.com,"Camila, Andre, Eduarda",list of Brazilian churches we can prospect ,,
Comeketo Venue Leads,office@virtualkitchenhall.com,Sales team,Our large list of venues in masschusetts and surrundings states,,
TRANSLATED COPY OF  WEDDING PLANNER ,info@comeketocatering.com,Rod,Sheet created to be given to couples who close with us to be used for wedding planning,,
,,,,,
,,,,,
,,,,, 
,,,,,
Operational ,,,,,
Events of the week,comeketorestaurant@gmail.com,"ANNE. CAMILA, ROD, ","To sales for the week(subtotal only), asset what food cost should be(food allotment) & Labor allotment",,
Labor Report - Comeketo  2023/2024/2025,comeketorestaurant@gmail.com,"ANNE. CATHLYN, ROD, ","Labor cost, tracking of what we actually used for labor in those weeks ",,
Venue Map - Preffered Venues,admin@comeketocatering.com ??,all sales team - Rod,,,
Total Number of events in 2025 & Headcount,comeketorestaurant@gmail.com,"Camila, Rod, Rhonna ","How well are we doing with number of events, how many people are we serving, how many bar services  on the monthly basis  ",,
LATEST Pricing Guide & FAQ - Comeketo Catering,admin@comeketocatering.com,Sales team - ,"this is where we have all pricing and FAQ, packages info, menu descriptions, details about allergy concerns. ",,
Comeketo AI AGENT- Adjustment,admin@comeketocatering.com,"Rhonna, Eufy , Rodrigo ",This is all the info about our feedback when we are running the AI ,,
GoDaddy - product,info@comeketo.com,"Rhonna, Anne, Rodrigo",,,
"Monthly average for Anne, Carlos and Bibi - October/March",info@comeketo.com,"Anne, Rodrigo",,,
,,,,,
,,,,,
Accounting / Expenses ,,,,,
