# OF COMPLETED EVENTS,Partnership Tier Level ,Characteristics,VENUE NAME,Assigned Consultant Manager,ADDRESS,DISTANCE FROM OUR  KITCHEN,REFERRAL STATUS,LAST EVENT DATE,Are we added to ther website as  preferred vendor?,Partnered Venue?,Needs Permit?,Notes,Account Manager ,Venue visti done? ,Link of Close CRM,Website Link 
COMPLETED 1 EVENT,,,Andover Inn ,," 4 Chapel Ave, Andover, MA 01810, United States",,not yet ,,,No,,1 event done ,Nina,,https://app.close.com/lead/lead_5j2jFeZ7yNa4PCpy1ENHQQyXSbCCyVDDHB5IVB0gB3o/,
PARTNERED VENDORS,TIER 2 - Preferred Partner,"no bar 
accomodate 150 ppl
indoor:120ppl accomodation
they offer oven 250 dollars need to pass on to the client
they are strict, not flexible 
we can't drop off things a day before 
good source of leads 
no bedroom to acocmdate
price point: 2k-3500

",ASA WATERS MANSION ,Andre,"123 Elm St, Millbury, MA 01527, United States",,sent us some referals,,,Yes,YEs ,We have 5 upcoming events  that will beheld in ASA,,,https://app.close.com/lead/lead_vcqrJcPQTiCQ5c10V4owqHy6v8As3x30rWrqBEFwm2L/,Arrowhead Acres
COMPLETED 2 EVENTS,,"have Q' meetings 
This is corporate account 
( no 3 touchpoint every single month )
touch base once a month ( alternate channel communication)
",BLACK BEAR CONCRETE,Andre,"488 Main StLeominster, MA 01453",,,,,,,4 events done,,,"https://app.close.com/lead/lead_Eoj1sKpe4c1ZlKeJDEKceKDmlrXR0ncEqb7BtbGr00i/, https://app.close.com/lead/lead_KeUoFS0mEqw0JxF509VFaU0CnJiSaT1RSCpoAPHS2Av/, https://app.close.com/lead/lead_bd7k7jJKAE8GcYhvkP8P6z7gOPbIPE9C8cDCKzYKYob/, https://app.close.com/lead/lead_Eoj1sKpe4c1ZlKeJDEKceKDmlrXR0ncEqb7BtbGr00i/",Asa Waters Mansion
,,,Workers Credit Union Headquarters,,"119 Russell St, Littleton, MA 01460, United States",,No,March 1,,,,Always get us many times for thier occasion.. communicate directy with Bibi most  of the time . thi is a bank ,bibi,,,Workers Credit Union
COMPLETED 1 EVENT,TIER 1-Connected Partner,"huge venue
100-200 ppl
pricepont: 2500-5k 
has a kitcehn
residential style kitchen but good space to work
very demanding venue 
 take trash with us 
we need sweep the floor
no bar 
we could grill outside 
no accomodation 
poor parking  for guests 
we do everything here 
not that flexible to drop off things a day before but we can still double check 
45-50 mins ride from our kitchen 
",Charles River Museum,Andre,"154 Moody Street  •  Waltham, MA 02453",,,,,no ,,1 event done. We allow some outside catering and would happily discuss options and schedule a site tour.,,,https://app.close.com/lead/lead_3AXvsN8n8lmad6y6bS6997SejOPkTqxaqLqx0pB2Pv8/,https://www.christalightevents.com/
PARTNERED VENDORS,TIER 3 - Growth Partner,"all inclusive type of Venue 
they take care of decor, DJ, photobooth, Photographer
pretty nice the space is good 
it is in Plaza that has other businesses
no outdoor no nice landscape outside 
the price point is : 3k-10k (mostly all inclusive)
people ina  budget we can recommend this place 
",Christalight Auditorium and Event Hall,Andre,"799 S Main St SUITE 18, Bellingham, MA 02019",,,,,,,3 events on the record,,,"https://app.close.com/lead/lead_b7gDrT1aY6m7G22Ejfjw7VwZ5QHikFihLwPoyc5HBOo/, https://app.close.com/lead/lead_ntu5LKoM7wmPIjeSBicppC8JkyjC6CIZBTdByD6yME7/, https://app.close.com/lead/lead_fz3zqee27kLxyUM9IijdUHb4Z9hNfTpbiy79BKLNKyD/",
COMPLETED 1 EVENT,TIER 1-Connected Partner,"no bar
beautiful outside
historical house
nice kitchen
VERY VERY VERY STRICT
yes to grilling
yes parking
180 ppl to 200 guests
no accomdation 
45 mins away from us
we need to do everything here.. do chairs and tbale placement
pricepoint:atleast 5k
special treatment 
we need to do bussing 
we need to check if tehre is a permit we need to secure 
",Commanders Mansion ,Andre,"440 Talcott Ave, Watertown, MA 02472, United States",,no ,,,not yet,,One event done. no bar service,,,https://app.close.com/lead/lead_Zcw8VXksBhd1GBdx5wvImmZqZR12PRCXdKNxqUymb5t/,
COMPLETED 1 EVENT,,"this is Corporate Account 
not  intense communication just once a month 
",ETS EQUIPMENT,Andre,"11 Airport Rd, Hopedale, MA 01747 ",,,,,,,One event done,,,https://app.close.com/leads/save_CcVzMI6s2oLybrJBIT3RIEEpl3libnGlb1ojbHwvrYt/,https://shelburnesprings.com/
COMPLETED 1 EVENT,TIER 1-Connected Partner,"no bar
people usually hve money 
boston area
150 ppl 
big space 
they have nice outdoor but since they are in the city   ther might be limitation
they have kticehbn space but no equpment
there is a space for cooking and prep. 
yes to grilling  outside 
 go on peoples website and search about this ",Garage B Events at The Speedway,Andre,"1420 Soldiers Field Road, Brighton MA, 02135",,,,,,,1 events done,,,https://app.close.com/lead/lead_Jsjv2NxfQAYHFgP4jNQIpBmBQdZfCEBYQ3bq5oxVq4F/,https://garagebevents.com/
COMPLETED 2 EVENTS,TIER 1-Connected Partner,"no bar
closed by form our kitchen ( 25 mins) 
close by from lake front view 
they have kitchen kind of residentail/ commercial kitchen , good space for us
80 people guest 90 max 
parking good 
good to work with ,w e can drop off stuff earlier  the time the guests rented
they have cabins that can accomodate people 
indoor and outdoor space 
they can  do teh ceremony outside but for the  food it s hould be indoor i most cases 
we can grill 
",Knights & Ladies of Kaleva,Andre,"Kaleva Road, Littleton, MA 01460",,,October 4. 2025,,,,2 events done ,,,,Versailles Venue
